English,Urdu_True,Urdu_Pred
we found tom,ہم ٹام مل گیا,ہم نے ٹام کو پایا
please air the room,براہ مہربانی کمرے کو ہوا کریں,براہ کرم کمرے کو ہوا دیں۔
i only did my duty,میں نے صرف اپنا فرض ادا کیا۔,میں نے صرف اپنا فرض ادا کیا
why are you hoarse,تم کھردرے کیوں ہو,تم کیوں کھردرے ہو
i just know him by name,میں صرف اسے نام سے جانتا ہوں,میں اسے صرف نام سے جانتا ہوں۔
"if he phones, tell him to wait me in the garden",اگر وہ فون کرتا ہے تو اسے کہو کہ باغ میں میرا انتظار کرے۔,اگر وہ فون کرتا ہے تو اسے باغ میں میرا انتظار کرنے کو کہو
continue digging,کھدائی جاری رکھیں,کھدائی جاری رکھیں
this isnt my bag,یہ میرا بیگ نہیں ہے۔,یہ میرا بیگ نہیں ہے۔
zain isnt in,زین میں نہیں ہے,زین اندر نہیں ہے
go to sleep,سونے جائیں,سونے جاؤ
look at this stuff,اس چیز کو دیکھو,اس چیزوں کو دیکھو
can you ride a horse,کیا آپ گھوڑے پر سوار ہو سکتے ہیں,کیا آپ گھوڑے کی سواری کر سکتے ہیں
give me five days,مجھے پانچ دن دیں۔,مجھے پانچ دن دیں۔
zain isnt my name,زین میرا نام نہیں ہے۔,زین میرا نام نہیں ہے
zain is in shock,زین صدمے میں ہے,زین صدمے میں ہے
they are in class,وہ کلاس میں ہیں,وہ کلاس میں ہیں
button up your coat,اپنے کوٹ کو بٹن لگائیں۔,اپنے کوٹ کو بٹن اپ کریں
he got very mad,وہ بہت پاگل ہو گیا,وہ بہت پاگل ہو گیا
zain isnt an expert,زین ایک ماہر نہیں ہے,زین ایک ماہر نہیں ہے
you are an animal,تم ایک جانور ہو,آپ ایک جانور ہیں
no thank you,نہیں شکریہ,نہیں شکریہ
i am drawing a bird,میں ایک پرندہ بنا رہا ہوں۔,میں ایک پرندہ ڈرائنگ کر رہا ہوں
do you feel tired,کیا آپ کو تھکاوٹ محسوس ہوتی ہے؟,کیا آپ تھکے ہوئے محسوس کرتے ہیں
we didnt complain,ہم نے شکایت نہیں کی,ہم نے شکایت نہیں کی
you are obstinate,تم ضدی ہو,تم ضدی ہو
cut off the power,بجلی کاٹ دو,توانائی کاٹ دو
i once lived in rome,میں ایک بار روم میں رہتا تھا۔,میں ایک بار روم میں رہتا تھا۔
i met her by chance,میں اتفاق سے اس سے ملا,میں اتفاق سے اس سے ملا
look up the words in your dictionary,الفاظوں کو لغت میں ڈھونڈو۔,اپنی لغت میں الفاظ دیکھو
i am so proud of you,مجھے تم پر بہت فخر ہے,مجھے آپ پر بہت فخر ہے
we need more space,ہمیں مزید جگہ کی ضرورت ہے,ہمیں مزید جگہ کی ضرورت ہے
i will see you later,میں آپ سے بعد میں ملتا ہوں,میں بعد میں آپ سے ملوں گا
you are not a suspect,آپ مشتبہ نہیں ہیں,آپ مشتبہ نہیں ہیں۔
i can't do this to tom,میں ٹام کے ساتھ ایسا نہیں کر سکتا,میں ٹام سے یہ نہیں کر سکتا
have we met,کیا ہم ملے ہیں,کیا ہم ملے ہیں
go look for it,اسے تلاش کرنے کے لئے جاؤ,جاؤ اس کی تلاش کرو
that a boy,کہ ایک لڑکا,یہ لڑکا ہے
he is lying on the bench,وہ بینچ پہ لیٹا ہوا ہے۔,وہ بینچ پر لیٹ رہا ہے
i have enough money to buy it,میرے پاس اتنے پیسے ہے کہ میں یہ خرید سکتا ہوں۔,میرے پاس اسے خریدنے کے لیے کافی رقم ہے۔
it’s torn,یہ پھٹا ہوا ہے,یہ کھٹا ہے
i had like a daiquiri,میں نے ایک دائیکویری کی طرح تھا,میں نے ایک دایquiri کی طرح تھا
we have nothing else,ہمارے پاس اور کچھ نہیں ہے,ہمارے پاس اور کچھ نہیں ہے
she is in a bad mood,وہ خراب موڈ میں ہے,وہ خراب موڈ میں ہے
i am not so sure now,مجھے اب اتنا یقین نہیں ہے۔,مجھے اب اتنا یقین نہیں ہے
what a pretty woman,کتنی خوبصورت عورت ہے,کتنی خوبصورت عورت ہے
zain saw something,زین نے کچھ دیکھا,زین نے کچھ دیکھا
the cat is adorable,بلی پیاری ہے,بلی پیاری ہے
he scolded her,اس نے اسے ڈانٹ دیا,اس نے اسے ڈانٹ دیا
he was very happy,وہ بہت خوش تھا,وہ بہت خوش تھا
i kept on reading,میں پڑھتا رہا۔,میں پڑھتا رہا
could i see the dessert menu,کیا میں ڈیزرٹ مینو دیکھ سکتا ہوں؟,کیا میں میٹھا مینو دیکھ سکتا ہوں؟
weve got each other,ہم نے ایک دوسرے کو حاصل کیا,ہم ایک دوسرے کو مل گئے
i am good at japanese,میں جاپانی میں اچھا ہوں۔,میں جاپانی میں اچھا ہوں۔
is that important,کیا یہ اہم ہے,یہ اہم ہے؟
this is no joke,یہ کوئی مذاق نہیں ہے,یہ کوئی مذاق نہیں ہے
zain is through,زین کے ذریعے ہے,زین ذریعے ہے
move over,آگے بڑھنا,منتقل کرنا
we cant let zain go,ہم زین کو جانے نہیں دے سکتے,ہم زین جانے نہیں دے سکتے
two weeks went by,دو ہفتے گزر گئے,دو ہفتے گزر گئے
zain isnt very tall,زین بہت لمبا نہیں ہے۔,زین بہت لمبا نہیں ہے۔
i accept the offer,میں پیشکش قبول کرتا ہوں۔,میں پیشکش قبول کرتا ہوں۔
zain is now up,زین اب اوپر ہے,زین اب اوپر ہے
she probably knows,وہ شاید جانتی ہے۔,وہ شاید جانتا ہے
try and calm down,کوشش کرو اور پرسکون ہو جاؤ,کوشش کریں اور پرسکون ہو
the rumors were true,افواہیں سچ تھیں,افواہیں سچی تھیں
i am sorry i am late,مجھے افسوس ہے کہ مجھے دیر ہو گئی۔,مجھے افسوس ہے کہ مجھے دیر ہو گئی ہے۔
thats broken,یہ ٹوٹ گیا ہے,یہ ٹوٹ گیا ہے
thats enough,یہ کافی ہے,یہ کافی ہے
he works at night,وہ رات کو کام کرتا ہے,وہ رات کو کام کرتا ہے
shes divorced,وہ طلاق یافتہ ہے,وہ طلاق یافتہ ہے
it isnt obvious,یہ واضح نہیں ہے,یہ واضح نہیں ہے
mary is weird,مریم عجیب ہے,مریم عجیب ہے
its hearsay,اس کی سنوائی,اس کی آواز
when did you arrive,آپ کب آئے,آپ کب پہنچے
he saw a pretty girl,اس نے ایک خوبصورت لڑکی کو دیکھا,اس نے ایک خوبصورت لڑکی کو دیکھا
zain got hit by a car,زین کو گاڑی نے ٹکر مار دی۔,زین کو ایک کار نے ٹکر ماردی
"it’s ok for him, isn’t it",یہ اس کے لیے ٹھیک ہے، ہے نا,یہ اس کے لئے ٹھیک ہے، یہ نہیں ہے
she must be we will off,وہ ہونا چاہیے ہم بند کر دیں گے,وہ ہونا ضروری ہے ہم بند کر دیں گے۔
he does not like cats,وہ بلیوں کو پسند نہیں کرتا,اسے بلیاں پسند نہیں ہیں۔
i am tied up now,میں اب بندھے ہوئے ہوں,میں اب بند کر دیا گیا ہوں
i like pop music,مجھے پاپ موسیقی پسند ہے,مجھے پوپ موسیقی پسند ہے
i shook my head,میں نے سر ہلایا,میں نے اپنا سر ہلایا
zain drove me home,زین مجھے گھر لے گیا۔,زین نے مجھے گھر پہنچا
delete that picture,اس تصویر کو حذف کریں,اس تصویر کو ہٹا دو
could you give me some money,کیا آپ مجھے کچھ رقم دے سکتے ہیں,کیا آپ مجھے کچھ پیسے دے سکتے ہیں
i am going to the office,میں دفتر جا رہا ہوں۔,میں دفتر جا رہا ہوں
thats a good idea,یہ اچھا خیال ہے,یہ ایک اچھا خیال ہے
zain knows i am home,زین جانتا ہے کہ میں گھر پر ہوں۔,زین جانتا ہے کہ میں گھر ہوں
what wasnt easy,کیا آسان نہیں تھا,کیا آسان نہیں تھا
i am dozing off,میں سو رہا ہوں,میں جھپک رہا ہوں۔
i have made my decision,میں نے اپنا فیصلہ کر لیا ہے,میں نے اپنا فیصلہ کر لیا ہے۔
zain couldnt find it,زین اسے نہیں مل سکا,زین اسے ڈھونڈ نہیں سکا
zain just laughed,زین صرف ہنس دیا,زین صرف ہنسا۔
you have to find tom,آپ کو ٹام تلاش کرنا ہوگا,آپ کو ٹام کو تلاش کرنا ہوگا۔
we traveled on foot,ہم نے پیدل سفر کیا۔,ہم نے پیدل سفر کیا
she did it carefully,اس نے یہ کام احتیاط سے کیا,اس نے اسے احتیاط سے کیا
its there now,اب وہاں ہے,یہ اب وہاں ہے
zain isnt convinced,زین کو یقین نہیں آرہا,زین قائل نہیں ہے
do you also smoke?,آپ سگریٹ نوشی کرتے ہیں؟,کیا آپ سگریٹ نوشی کرتے ہیں؟
i made a paper plane,میں نے ایک کاغذی ہوائی جہاز بنایا,میں نے ایک کاغذی جہاز بنایا
i have been working,میں کام کر رہا تھا,میں کام کر رہا ہوں
she smiled,وہ مسکرائی,وہ مسکرایا
he is fast,وہ تیز ہے,وہ تیز ہے
she seldom goes out,وہ شاذ و نادر ہی باہر جاتی ہے,وہ شاذ و نادر ہی باہر جاتی ہے۔
zain is furious,زین غصے میں ہے,زین غصے میں ہے
has zain called yet,زین نے ابھی فون کیا ہے۔,زین نے ابھی تک بلایا ہے
i had like to go,میں جانا پسند تھا,مجھے جانا پسند تھا۔
lead bends easily,سیسہ آسانی سے جھک جاتا ہے۔,لیڈ آسانی سے جھکتا ہے
the birds sang,پرندوں نے گایا,پرندے گائے
do you want to leave,کیا آپ چھوڑنا چاہتے ہیں؟,کیا آپ چھوڑنا چاہتے ہیں
she is eating,وہ کھا رہی ہے,وہ کھا رہی ہے
i burp a lot,میں بہت رگڑتا ہوں۔,میں بہت دب گیا
i am a child,میں ایک بچہ ہوں,میں ایک بچہ ہوں
he is wide awake,وہ وسیع بیدار ہے,وہ وسیع جاگ رہا ہے
wheres our money,جہاں ہمارا پیسہ ہے,ہمارے پیسے کہاں ہیں
i took my shoes off,میں نے اپنے جوتے اتار دیئے۔,میں نے اپنے جوتے اتار دیئے۔
zain was impressed,زین متاثر ہوا,زین متاثر ہوا
were not strangers,اجنبی نہیں تھے,اجنبی نہیں تھے
i love this school,میں اس اسکول سے محبت کرتا ہوں۔,مجھے یہ اسکول پسند ہے۔
why not let zain try,کیوں نہ زین کو کوشش کرنے دیں۔,کیوں نہیں زین کو آزمانے دیں۔
i forgot his address,میں اس کا پتہ بھول گیا۔,میں اس کا پتہ بھول گیا
i can carry that,میں اسے لے جا سکتا ہوں۔,میں اسے لے جا سکتا ہوں۔
i cant confirm that,میں تصدیق کرتی ہوں کہ:,میں اس کی تصدیق نہیں کر سکتا
he teaches us history,وہ ہمیں تاریخ سکھاتا ہے,وہ ہمیں تاریخ سکھاتا ہے۔
add more water to it,اس میں مزید پانی شامل کریں,اس میں مزید پانی شامل کریں
i promised,میں نے وعدہ کیا,میرا وعدہ تھا
she isnt poor,وہ غریب نہیں ہے,وہ غریب نہیں ہے
put some clothes on,کچھ کپڑے پہنیں,کچھ کپڑے پہنیں
we are in paris,ہم پیرس میں ہیں,ہم پیرس میں ہیں
i love this album,مجھے یہ البم پسند ہے۔,مجھے یہ ایلبم بہت پسند ہے
he is a big coward,وہ بڑا بزدل ہے,وہ ایک بڑا بزدل ہے
i cant stay for long,میں زیادہ دیر تک نہیں رہ سکتا,میں زیادہ دیر تک نہیں رہ سکتا
i know what you mean,میں جانتا ہوں تمہارا کیا مطلب ہے,میں جانتا ہوں کہ آپ کا کیا مطلب ہے۔
i will buy it,میں اسے خرید وں گا,میں اسے خریدوں گا
i have learned so much,میں نے بہت کچھ سیکھا ہے۔,میں نے بہت کچھ سیکھا ہے
i can drive a car,میں گاڑی چلا سکتا ہوں۔,میں گاڑی چلا سکتا ہوں
i cant buy a bike,میں ایک موٹر سائیکل نہیں خرید سکتے,میں ایک موٹر سائیکل نہیں خرید سکتا
the accounts have been audited,اکاؤنٹس کو آڈٹ کر دیا گیا ہے۔,اکاؤنٹس کی پڑتال کی گئی ہیں۔
it was really scary,یہ واقعی خوفناک تھا,یہ واقعی خوفناک تھا
i hate traveling,مجھے سفر سے نفرت ہے,مجھے سفر کرنے سے نفرت ہے۔
i can feel it,میں اسے محسوس کر سکتا ہوں۔,میں اسے محسوس کر سکتا ہوں۔
i hate zains parents,میں زین والدین سے نفرت کرتا ہوں,مجھے زین والدین سے نفرت ہے۔
just a moment,بس ایک منٹ ..,صرف ایک لمحہ
they smiled,وہ مسکرائے,وہ مسکرائے
i cant find my shoes,میں اپنے جوتے نہیں ڈھونڈ سکتا,میں نے اپنے جوتے نہیں مل سکتا
women hate me,عورتیں مجھ سے نفرت کرتی ہیں۔,خواتین مجھ سے نفرت کرتے ہیں
